"expert","Expert","CU_group","BSL_lower","BSL_upper","BSL_best_guess","S01_lower","S01_upper","S01_best_guess","S02_lower","S02_upper","S02_best_guess","S03_lower","S03_upper","S03_best_guess","S04_lower","S04_upper","S04_best_guess","S05_lower","S05_upper","S05_best_guess","S06_lower","S06_upper","S06_best_guess","S07_lower","S07_upper","S07_best_guess","S08_lower","S08_upper","S08_best_guess","S09_lower","S09_upper","S09_best_guess","S10_lower","S10_upper","S10_best_guess","S11_lower","S11_upper","S11_best_guess","S12_1.9.10_lower","S12_1.9.10_upper","S12_1.9.10_best_guess","S13_2.6_lower","S13_2.6_upper","S13_2.6_best_guess","ALL_lower","ALL_upper","ALL_best_guess","S15_Fut_Bas_lower","S15_Fut_Bas_upper","S15_Fut_Bas_best_guess"
14,"gs","Sockeye_Cultus_Late",0,10,5,0,15,10,0,15,5,0,15,5,5,40,20,0,10,5,0,10,5,15,45,25,20,30,25,0,15,10,0,10,5,0,15,5,0,25,20,10,45,25,25,55,35,0,5,0
14,"gs","Sockeye_Harrison_Down_Late(Big_Silver)",30,65,50,35,70,55,30,65,50,30,65,50,30,65,50,30,65,50,30,65,50,30,65,50,30,65,50,30,65,50,30,65,50,30,70,50,35,75,60,35,70,55,45,85,65,25,60,45
14,"gs","Sockeye_Harrison_Up_Late(Weaver)",10,20,15,15,25,20,10,25,15,10,20,15,10,25,15,10,20,15,10,20,15,10,20,15,10,20,15,10,20,15,10,20,15,10,25,15,15,30,25,15,30,20,25,40,30,5,15,10
14,"gs","Sockeye_Pitt_ES",40,75,65,45,80,70,40,75,65,40,75,65,40,75,65,40,75,65,40,75,65,40,75,65,40,75,65,40,80,70,40,75,65,40,80,65,45,90,80,45,80,70,55,95,80,35,70,60
14,"gs","Sockeye_Lillooet/Harrison_Late(Birk)",25,45,35,30,50,40,25,50,35,25,45,35,25,45,35,25,45,35,25,45,35,25,45,35,25,45,35,25,50,40,25,45,35,25,50,35,30,60,50,30,55,40,40,70,50,20,40,30
14,"gs","Sockeye_Harrison_River",40,75,65,45,80,70,40,80,65,40,75,65,40,80,65,45,80,70,40,75,65,40,75,65,40,75,65,40,75,65,40,75,65,40,80,65,45,85,75,50,80,75,55,95,80,35,70,60
14,"gs","Sockeye_Widgeon_River",25,70,40,35,75,45,25,70,40,25,70,40,25,70,40,35,75,45,25,70,40,25,70,40,25,70,40,25,75,45,25,70,40,25,75,40,35,85,55,40,80,50,45,85,55,20,65,35
15,"6m","Chinook_LFR_FA_0.3",25,50,30,40,75,50,25,50,30,25,50,30,25,50,30,25,60,35,25,50,30,25,50,30,25,55,35,NA,NA,NA,25,50,30,30,55,35,40,75,50,30,60,35,40,75,50,20,45,25
15,"6m","Chinook_Maria_Slough_SU_0.3",0,25,15,5,50,40,0,30,20,0,30,20,0,30,20,0,30,20,0,30,20,0,30,20,0,30,20,NA,NA,NA,0,25,15,5,30,20,10,50,40,5,30,20,10,50,40,0,20,10
15,"6m","Chinook_LFR_SP_1.3",25,50,30,30,75,50,30,60,35,30,60,35,30,55,35,25,60,35,30,55,35,25,50,30,25,55,35,NA,NA,NA,25,50,30,30,55,35,35,75,50,30,60,35,35,75,50,20,45,25
15,"6m","Chinook_LFR_SU_1.3",30,50,40,50,75,60,35,60,45,30,50,40,35,55,45,30,60,45,30,55,45,30,50,40,30,55,45,NA,NA,NA,30,50,40,35,55,45,50,75,60,35,60,45,50,75,60,25,45,35
15,"6m","Chum_LFR",25,75,50,50,75,60,25,75,50,25,75,50,30,80,55,25,80,55,25,85,60,25,85,55,25,75,50,NA,NA,NA,35,85,75,25,75,50,50,85,75,30,85,60,50,90,75,20,70,45
15,"6m","Coho_Lillooet",25,50,30,25,50,30,30,55,55,30,60,40,30,60,35,25,55,35,25,55,35,25,55,35,25,50,30,NA,NA,NA,25,50,30,30,55,35,35,60,40,30,60,55,35,90,65,15,40,20
15,"6m","Coho_LFR",25,50,30,25,50,30,30,55,35,30,60,40,30,60,35,25,55,35,25,60,40,25,55,35,25,50,30,NA,NA,NA,25,50,30,30,55,35,35,60,40,30,60,40,35,65,45,15,40,20
15,"6m","Coho_BB",25,50,30,25,50,30,30,55,35,30,60,40,30,60,35,25,55,35,25,60,40,25,55,35,25,55,35,NA,NA,NA,25,50,30,30,55,35,35,60,40,30,60,40,35,65,45,15,40,20
15,"6m","Pink_FR",50,75,60,75,90,80,50,75,60,60,80,70,50,75,60,50,75,60,55,75,60,50,75,60,50,80,65,NA,NA,NA,50,75,60,50,75,60,75,90,80,60,80,70,75,90,80,45,65,55
15,"6m","Sockeye_Chilliwack_ES",0,25,15,5,40,20,0,25,15,0,25,15,0,25,15,0,30,20,0,25,15,0,25,15,0,25,15,NA,NA,NA,0,25,15,0,30,20,10,40,35,5,30,20,10,40,30,0,20,10
15,"6m","Sockeye_Cultus_Late",0,10,5,0,15,10,0,15,10,0,25,15,0,15,10,0,15,10,0,10,5,0,25,15,0,20,15,NA,NA,NA,0,10,5,0,15,10,10,20,15,5,25,15,10,25,20,0,5,0
15,"6m","Sockeye_Harrison_Down_Late(Big_Silver)",15,50,40,25,75,50,15,50,40,15,50,40,15,50,40,15,50,40,15,50,40,15,50,40,15,50,40,NA,NA,NA,15,50,40,20,55,45,25,75,50,20,55,45,25,75,55,10,45,35
15,"6m","Sockeye_Harrison_Up_Late(Weaver)",15,50,40,25,75,50,15,55,45,15,50,40,15,50,40,15,50,45,15,50,40,15,50,40,15,50,40,NA,NA,NA,15,50,40,20,55,45,25,75,50,20,55,45,25,75,55,10,45,35
15,"6m","Sockeye_Pitt_ES",10,40,30,15,50,40,10,40,30,10,40,30,10,40,30,10,40,35,10,40,30,10,40,30,10,40,30,NA,NA,NA,10,40,30,15,45,35,20,50,40,15,45,35,20,65,45,5,35,25
15,"6m","Sockeye_Lillooet/Harrison_Late(Birk)",15,30,25,25,60,40,15,35,30,15,30,25,15,30,25,15,30,30,15,30,25,15,30,25,15,30,25,NA,NA,NA,15,30,25,20,35,30,25,60,40,20,35,30,25,60,40,10,25,20
15,"6m","Sockeye_Harrison_River",25,50,30,50,75,60,25,50,30,25,50,30,25,50,30,25,50,35,25,50,30,25,50,30,25,50,30,NA,NA,NA,25,50,30,25,50,30,50,75,60,30,55,35,50,75,60,20,45,25
15,"6m","Sockeye_Widgeon_River",25,50,30,50,75,60,25,50,30,25,50,30,25,50,30,25,50,35,25,50,30,25,50,30,25,50,30,NA,NA,NA,25,50,30,25,50,30,50,75,60,30,55,35,50,75,60,20,45,25
16,"cG","Chinook_LFR_FA_0.3",20,40,30,40,60,50,30,50,40,30,50,40,30,50,40,20,40,30,20,40,30,20,40,30,20,40,30,20,40,30,20,40,30,20,40,30,40,60,50,50,70,60,60,80,70,20,40,30
16,"cG","Chinook_Maria_Slough_SU_0.3",20,40,30,40,60,50,40,60,50,30,50,40,30,50,40,20,40,30,20,40,30,20,40,30,30,50,40,20,40,30,20,40,30,20,40,30,40,60,50,50,70,60,60,80,70,20,40,30
16,"cG","Chinook_LFR_SP_1.3",20,40,30,40,60,50,30,50,40,30,50,40,30,50,40,20,40,30,40,60,50,20,40,30,20,40,30,20,40,30,20,40,30,20,40,30,40,60,50,50,70,60,60,80,70,20,40,30
16,"cG","Chinook_LFR_SU_1.3",50,70,60,60,80,70,60,80,70,70,90,80,60,80,70,60,80,70,60,80,70,60,80,70,60,80,70,60,80,70,60,80,70,60,80,70,70,90,80,70,90,80,70,90,80,50,70,60
16,"cG","Chinook_LFR-Upper_Pitt_SU_1.3",10,30,20,30,50,40,10,30,20,20,40,30,20,40,30,20,40,30,10,30,20,10,30,20,10,30,20,10,30,20,10,30,20,10,30,20,30,50,40,40,60,50,40,60,50,10,30,20
16,"cG","Chinook_BB_FA_0.3",50,70,60,60,80,70,65,85,75,70,80,75,70,90,80,60,80,70,70,90,80,60,80,70,70,90,70,60,80,70,60,80,70,60,80,70,60,80,70,70,90,80,70,90,80,50,70,60
