expert,code,CU_group,Estimate,Value,Strategy,Est.Type
18,Ko,Sockeye_Widgeon_River,BSL_lower,20,BSL,Lower
19,Hw,Chinook_LFR_FA_0.3,BSL_lower,20,BSL,Lower
19,Hw,Chinook_LFR_SP_1.3,BSL_lower,20,BSL,Lower
19,Hw,Chinook_BB_FA_0.3,BSL_lower,20,BSL,Lower
19,Hw,Chum_LFR,BSL_lower,20,BSL,Lower
19,Hw,Coho_Lillooet,BSL_lower,20,BSL,Lower
19,Hw,Coho_LFR,BSL_lower,15,BSL,Lower
19,Hw,Coho_BB,BSL_lower,20,BSL,Lower
19,Hw,Pink_FR,BSL_lower,20,BSL,Lower
19,Hw,Sockeye_Chilliwack_ES,BSL_lower,20,BSL,Lower
19,Hw,Sockeye_Cultus_Late,BSL_lower,0,BSL,Lower
19,Hw,Sockeye_Harrison_Down_Late(Big_Silver),BSL_lower,20,BSL,Lower
19,Hw,Sockeye_Harrison_Up_Late(Weaver),BSL_lower,15,BSL,Lower
19,Hw,Sockeye_Pitt_ES,BSL_lower,15,BSL,Lower
19,Hw,Sockeye_Lillooet/Harrison_Late(Birk),BSL_lower,15,BSL,Lower
19,Hw,Sockeye_Harrison_River,BSL_lower,15,BSL,Lower
19,Hw,Sockeye_Widgeon_River,BSL_lower,15,BSL,Lower
20,tA,Chinook_LFR_FA_0.3,BSL_lower,10,BSL,Lower
20,tA,Chinook_Maria_Slough_SU_0.3,BSL_lower,10,BSL,Lower
20,tA,Chinook_LFR_SP_1.3,BSL_lower,10,BSL,Lower
20,tA,Chinook_LFR_SU_1.3,BSL_lower,10,BSL,Lower
20,tA,Chinook_LFR-Upper_Pitt_SU_1.3,BSL_lower,10,BSL,Lower
20,tA,Chinook_BB_FA_0.3,BSL_lower,10,BSL,Lower
20,tA,Chum_LFR,BSL_lower,10,BSL,Lower
20,tA,Coho_Lillooet,BSL_lower,10,BSL,Lower
20,tA,Coho_LFR,BSL_lower,10,BSL,Lower
20,tA,Coho_BB,BSL_lower,10,BSL,Lower
20,tA,Pink_FR,BSL_lower,10,BSL,Lower
20,tA,Sockeye_Chilliwack_ES,BSL_lower,10,BSL,Lower
20,tA,Sockeye_Cultus_Late,BSL_lower,10,BSL,Lower
20,tA,Sockeye_Harrison_Down_Late(Big_Silver),BSL_lower,10,BSL,Lower
20,tA,Sockeye_Harrison_Up_Late(Weaver),BSL_lower,10,BSL,Lower
20,tA,Sockeye_Pitt_ES,BSL_lower,10,BSL,Lower
20,tA,Sockeye_Lillooet/Harrison_Late(Birk),BSL_lower,10,BSL,Lower
20,tA,Sockeye_Harrison_River,BSL_lower,10,BSL,Lower
20,tA,Sockeye_Widgeon_River,BSL_lower,10,BSL,Lower
21,n5,Chinook_LFR_FA_0.3,BSL_lower,10,BSL,Lower
21,n5,Chinook_Maria_Slough_SU_0.3,BSL_lower,10,BSL,Lower
21,n5,Chinook_LFR_SP_1.3,BSL_lower,10,BSL,Lower
21,n5,Chinook_LFR_SU_1.3,BSL_lower,10,BSL,Lower
21,n5,Chinook_LFR-Upper_Pitt_SU_1.3,BSL_lower,10,BSL,Lower
21,n5,Chinook_BB_FA_0.3,BSL_lower,0,BSL,Lower
21,n5,Chum_LFR,BSL_lower,10,BSL,Lower
21,n5,Coho_Lillooet,BSL_lower,10,BSL,Lower
21,n5,Coho_LFR,BSL_lower,10,BSL,Lower
21,n5,Coho_BB,BSL_lower,10,BSL,Lower
21,n5,Pink_FR,BSL_lower,10,BSL,Lower
21,n5,Sockeye_Chilliwack_ES,BSL_lower,20,BSL,Lower
21,n5,Sockeye_Cultus_Late,BSL_lower,20,BSL,Lower
21,n5,Sockeye_Harrison_Down_Late(Big_Silver),BSL_lower,40,BSL,Lower
21,n5,Sockeye_Harrison_Up_Late(Weaver),BSL_lower,10,BSL,Lower
21,n5,Sockeye_Pitt_ES,BSL_lower,20,BSL,Lower
21,n5,Sockeye_Lillooet/Harrison_Late(Birk),BSL_lower,20,BSL,Lower
21,n5,Sockeye_Harrison_River,BSL_lower,10,BSL,Lower
21,n5,Sockeye_Widgeon_River,BSL_lower,20,BSL,Lower
22,Hf,Chinook_LFR_FA_0.3,BSL_lower,25,BSL,Lower
22,Hf,Chinook_Maria_Slough_SU_0.3,BSL_lower,20,BSL,Lower
22,Hf,Chinook_LFR_SP_1.3,BSL_lower,20,BSL,Lower
22,Hf,Chinook_LFR_SU_1.3,BSL_lower,25,BSL,Lower
22,Hf,Chinook_LFR-Upper_Pitt_SU_1.3,BSL_lower,20,BSL,Lower
22,Hf,Chinook_BB_FA_0.3,BSL_lower,10,BSL,Lower
22,Hf,Chum_LFR,BSL_lower,25,BSL,Lower
22,Hf,Coho_Lillooet,BSL_lower,22,BSL,Lower
22,Hf,Coho_BB,BSL_lower,10,BSL,Lower
22,Hf,Pink_FR,BSL_lower,30,BSL,Lower
22,Hf,Sockeye_Chilliwack_ES,BSL_lower,25,BSL,Lower
22,Hf,Sockeye_Cultus_Late,BSL_lower,15,BSL,Lower
22,Hf,Sockeye_Harrison_Down_Late(Big_Silver),BSL_lower,25,BSL,Lower
22,Hf,Sockeye_Harrison_Up_Late(Weaver),BSL_lower,15,BSL,Lower
22,Hf,Sockeye_Pitt_ES,BSL_lower,32,BSL,Lower
22,Hf,Sockeye_Lillooet/Harrison_Late(Birk),BSL_lower,40,BSL,Lower
22,Hf,Sockeye_Harrison_River,BSL_lower,50,BSL,Lower
22,Hf,Sockeye_Widgeon_River,BSL_lower,10,BSL,Lower
23,mm,Chinook_LFR_FA_0.3,BSL_lower,20,BSL,Lower
23,mm,Chinook_Maria_Slough_SU_0.3,BSL_lower,20,BSL,Lower
23,mm,Chinook_LFR_SP_1.3,BSL_lower,20,BSL,Lower
